x_base,y_base,x_length,y_length,color
240,298.5,-0.935945509,-0.352144864,0.660639995
120,481.5,0.750944638,-0.660365165,0.159746213
180,601.5,-0.899087459,0.437769049,0.047921752
300,238.5,0.963740835,0.266840031,0.081151292
480,541.5,0.455835932,0.89006382,0.124789002
420,541.5,0.845183314,0.534476535,0.466683587
360,421.5,0.091220106,0.995830755,0.884275209
240,178.5,0.843802086,0.536654487,0.222139886
600,661.5,0.90883807,0.417149089,0.218337834
120,541.5,0.723148392,-0.690692699,0.569035462
60,358.5,-0.904730328,-0.42598478,0.598940377
360,178.5,0.201735912,-0.979439953,0.239344816
420,358.5,0.926035441,0.377436566,0.710378941
60,298.5,0.604404957,0.796677255,0.323301154
180,358.5,0.189292122,0.981920818,0.591333474
480,118.5,-0.909388993,-0.415946702,0.057395225
180,541.5,0.708960318,0.705248373,0.077872484
420,358.5,-0.992875188,0.119158971,0.559786175
300,601.5,-0.977692799,0.210039973,0.196888404
120,421.5,-0.407070776,0.913396619,0.172173938
60,661.5,-0.816672755,-0.57710104,0.561806397
420,481.5,0.618007071,0.786172538,0.16054435
240,238.5,-0.989519168,-0.144401581,0.869517018
420,541.5,-0.999905929,-0.013716181,0.142671229
240,118.5,0.741239403,0.671240752,0.250881023
240,541.5,-0.977701524,-0.209999356,0.705581705
120,661.5,-0.976825315,-0.21403809,0.742539314
600,541.5,0.526471727,0.850192637,0.156488381
60,421.5,-0.925087879,-0.379753099,0.224242726
180,421.5,-0.227553457,0.97376559,0.714428185
420,601.5,-0.095141517,0.995463757,0.558191196
540,541.5,-0.144434257,0.989514399,0.63611975
480,298.5,-0.617880813,-0.786271773,0.398975889
360,481.5,-0.82839383,-0.560146108,0.17556796
360,358.5,-0.951522051,-0.307580536,0.803825901
600,541.5,0.919886642,-0.392184352,0.032206468
60,661.5,0.180176411,-0.983634313,0.073214702
420,118.5,-0.94753725,-0.319645366,0.684372489
120,238.5,-0.977809779,-0.209494715,0.178917605
180,238.5,-0.126729306,0.991937338,0.194073882
300,298.5,0.583142078,-0.812370185,0.934984248
300,358.5,0.894928999,0.446208568,0.233415442
60,178.5,-0.429058326,0.903276786,0.429643185
600,298.5,0.996332307,0.085568302,0.191727487
120,298.5,-0.290698907,0.956814583,0.815408195
360,601.5,0.43174645,0.901995012,0.194028137
180,118.5,0.940556632,0.339636898,0.54029288
60,481.5,0.73880863,0.673915283,0.58043823
60,481.5,-0.987218405,-0.15937321,0.183618984
600,481.5,-0.345820961,-0.938300519,0.584078238
540,601.5,0.236426419,-0.971649396,0.060396681
60,421.5,-0.66510941,0.746745922,0.199631925
120,298.5,0.837625931,0.546244267,0.161397401
480,421.5,0.961659668,0.274245662,0.215219111
120,481.5,0.548458419,0.83617783,0.491329212
360,238.5,0.999818044,-0.019075599,0.261575099
420,238.5,0.442616843,-0.89671084,0.768111289
240,661.5,0.425607905,-0.904907681,0.740540681
240,601.5,-0.999080676,0.04286961,0.012348345
420,541.5,-0.600101918,-0.799923552,0.628706221
300,661.5,-0.856807725,-0.515636036,0.905273182
540,661.5,-0.966030586,-0.25842776,0.256026641
240,421.5,0.116218911,0.993223623,0.685164481
360,541.5,-0.537827783,-0.843054729,0.571555521
60,358.5,0.96212518,-0.272608031,0.623847262
240,238.5,0.48028874,0.877110441,0.233739803
480,481.5,0.021246697,-0.999774263,0.611154085
300,298.5,0.953696007,0.300772217,0.24974734
180,358.5,0.553396518,-0.832917939,0.648591396
240,661.5,-0.662236601,-0.749294791,0.210625063
240,118.5,-0.155027715,0.987910121,0.730796706
60,238.5,-0.953658232,0.300891969,0.457710809
180,601.5,-0.874396508,-0.485212064,0.52917653
120,661.5,-0.367728931,-0.929933026,0.396269688
240,298.5,0.759507239,-0.65049885,0.27512985
240,178.5,-0.575058612,0.818112213,0.6492333
120,238.5,0.997072161,0.076466374,0.198486521
540,661.5,0.201610707,-0.979465733,0.561263584
480,421.5,-0.182685376,-0.983171426,0.599319958
540,298.5,0.92816242,0.372175392,0.182155291
240,661.5,0.719532264,0.694459013,0.225575851
420,238.5,0.754333592,0.656491304,0.970624986
420,358.5,0.008692981,0.999962215,0.086645094
60,601.5,-0.975580963,0.219640125,0.089934598
540,421.5,0.45452432,-0.890734328,0.712357283
600,118.5,0.316781822,-0.948498433,0.199505345
600,421.5,0.779383486,-0.62654719,0.20352637
180,541.5,-0.176167106,0.984360275,0.49131064
300,358.5,-0.982652588,-0.185455901,0.447629043
480,238.5,0.289827445,-0.957078916,0.476580265
360,298.5,0.768629818,0.639693836,0.436982778
120,541.5,-0.69328008,0.720668253,0.710169731
180,298.5,-0.961137982,-0.276068431,0.164166501
540,601.5,0.978159895,0.207853844,0.575794762
60,298.5,-0.640440938,-0.768007425,0.361013905
60,481.5,0.88358018,-0.468279901,0.13240486
360,541.5,-0.96050377,0.278266971,0.204450598
300,178.5,0.102666335,-0.994715851,0.702690755
540,601.5,-0.993410594,-0.114609735,0.304520678
300,481.5,-0.103565393,-0.994622647,0.269131073
240,481.5,-0.539032452,-0.842284997,0.709422553
420,601.5,-0.401775802,-0.915738065,0.187912485
480,358.5,0.482441036,0.875928449,0.205103389
120,601.5,-0.710589113,0.703607215,0.199581904
240,178.5,0.468066694,-0.883693142,0.581590793
360,661.5,-0.485722772,0.874112916,0.141881606
240,358.5,0.231407372,-0.972856941,0.353175597
120,118.5,0.584979534,-0.811048053,0.067923977
480,601.5,-0.998738758,-0.050208495,0.160952165
240,601.5,0.48614139,-0.873880168,0.113985507
480,238.5,-0.991622811,-0.129167332,0.177489007
240,358.5,-0.238417771,0.971162688,0.809328382
300,601.5,0.979564195,-0.201131766,0.278786314
420,298.5,0.62363905,0.781712437,0.868101944
180,358.5,0.911171294,0.412027758,0.091119053
120,661.5,-0.164622338,0.986356673,0.695277471
420,541.5,0.677822335,-0.735225735,0.162311317
600,298.5,-0.69566593,-0.718365446,0.263842877
420,421.5,-0.98980539,-0.142426438,0.789882522
300,238.5,-0.159741933,0.987158809,0.606792448
300,421.5,-0.643113151,-0.765771163,0.816873703
