rssi,variance,beacon_x,beacon_y,device_x,device_y,beacon_roll,beacon_pitch,beacon_yaw,device_roll,device_pitch,device_yaw
-72.56521739,9.451207729,725,358.5,120,118.5,89.13481281,60.41736562,20.26998821,0.873624707,40.73568417,-102.93766
-68.71428571,2.814285714,0,358.5,120,118.5,89.63943767,-25.0168614,-95.79736684,3.188374676,1.934231224,172.2028376
-67.49056604,4.254716981,725,358.5,120,118.5,89.13481281,60.41736562,20.26998821,3.188374676,1.934231224,172.2028376
-72.29411765,1.304812834,725,421.5,120,118.5,-88.90902026,27.57976167,-162.7960448,3.188374676,1.934231224,172.2028376
-67.69811321,1.099419448,480,0,120,118.5,-88.80278625,-19.76638299,-8.425050755,3.188374676,1.934231224,172.2028376
-69.53125,1.805443548,725,358.5,120,118.5,89.13481281,60.41736562,20.26998821,2.924500014,-7.00975973,84.77920808
-82.39130435,4.287922705,480,0,120,118.5,-88.80278625,-19.76638299,-8.425050755,2.924500014,-7.00975973,84.77920808
-68.91666667,19.90714286,0,358.5,120,118.5,89.63943767,-25.0168614,-95.79736684,2.924500014,-7.00975973,84.77920808
-72.29787234,0.648473636,725,421.5,120,118.5,-88.90902026,27.57976167,-162.7960448,2.924500014,-7.00975973,84.77920808
-72.73584906,4.736574746,725,358.5,180,118.5,89.13481281,60.41736562,20.26998821,-0.389149515,43.31884342,-13.32629162
-77.5,1.742857143,0,358.5,180,118.5,89.63943767,-25.0168614,-95.79736684,-0.389149515,43.31884342,-13.32629162
-83.94,3.731020408,725,421.5,180,118.5,-88.90902026,27.57976167,-162.7960448,-0.389149515,43.31884342,-13.32629162
-69.82608696,0.991304348,480,0,180,118.5,-88.80278625,-19.76638299,-8.425050755,-0.389149515,43.31884342,-13.32629162
-68.62857143,0.416806723,480,0,180,118.5,-88.80278625,-19.76638299,-8.425050755,2.96569252,-0.076975629,-101.7898616
-79.55555556,2.797979798,725,358.5,180,118.5,89.13481281,60.41736562,20.26998821,2.96569252,-0.076975629,-101.7898616
-78.40540541,3.136636637,725,421.5,180,118.5,-88.90902026,27.57976167,-162.7960448,2.96569252,-0.076975629,-101.7898616
-72.94444444,0.911111111,0,358.5,180,118.5,89.63943767,-25.0168614,-95.79736684,2.96569252,-0.076975629,-101.7898616
-63.30769231,1.58974359,480,0,180,118.5,-88.80278625,-19.76638299,-8.425050755,2.212500972,-0.16116828,164.9773817
-68.85454545,0.45993266,0,358.5,180,118.5,89.63943767,-25.0168614,-95.79736684,2.212500972,-0.16116828,164.9773817
-78.38636364,8.103065539,725,421.5,180,118.5,-88.90902026,27.57976167,-162.7960448,2.212500972,-0.16116828,164.9773817
